article_url,tags,title,publish_date,read_time,clap_count,comment_count
https://netflixtechblog.com/building-the-new-netflix-experience-for-tv-920d71d875de,"devices,innovation,javascript,performance,tv,tvs",Building the New Netflix Experience for TV,"Nov 18, 2013",5 min read,252,
https://netflixtechblog.com/integrating-imperative-apis-into-a-react-application-1257e1b45ac6,"declarative,javascript,react,tv,tvs,user-interface",Integrating imperative APIs into a React application,"Dec 19, 2017",6 min read,2074,
https://netflixtechblog.com/how-we-build-code-at-netflix-c5d9bd727f15,"aminator,aws,bake,build,cloud,continuous-integration",How We Build Code at Netflix,"Mar 9, 2016",8 min read,1340,
https://netflixtechblog.com/pioneering-application-design-on-tvs-tv-connected-devices-e361dbe02f66,"accelerated-compositing,innovation,javascript,performance,tv,tvs",Pioneering application design on TVs & TV-connected devices,"Dec 16, 2013",4 min read,60,
https://netflixtechblog.com/announcing-blitz4j-a-scalable-logging-framework-1b60f58229b8,"appender,deadlock,high-volume,locking,locks",Announcing Blitz4j — a scalable logging framework,"Nov 20, 2012",6 min read,3,
https://netflixtechblog.com/prana-a-sidecar-for-your-netflix-paas-based-applications-and-services-258a5790a015,"java,netflixoss,open-source,prana,sidecar",Prana: A Sidecar for your Netflix PaaS based Applications and Services,"Nov 5, 2014",6 min read,210,
https://netflixtechblog.com/netflix-drive-a607538c3055,"infrastructure,netflix,s3,storage,studio",Netflix Drive,"May 5, 2021",8 min read,1151,
https://netflixtechblog.com/building-high-performance-mobile-applications-at-netflix-376da166099b,"android,animation,ios,mobile,performance",Building High-Performance Mobile Applications at Netflix,"May 11, 2016",1 min read,66,
https://netflixtechblog.com/fast-json-api-serialization-with-ruby-on-rails-7c06578ad17f,"json-api,performance,ruby,ruby-on-rails,rubygems",Fast JSON API serialization with Ruby on Rails,"Feb 1, 2018",2 min read,7687,
https://netflixtechblog.com/fixing-performance-regressions-before-they-happen-eab2602b86fe,"anomaly,changepoint,performance,regression,testing",Fixing Performance Regressions Before they Happen,"Jan 24, 2022",12 min read,1113,
https://netflixtechblog.com/seeing-through-hardware-counters-a-journey-to-threefold-performance-increase-2721924a2822,"jdk-8180450,netflix,performance,pmc,vtune",Seeing through hardware counters: a journey to threefold performance increase,"Nov 9, 2022",10 min read,1905,
https://netflixtechblog.com/introducing-surus-and-scorepmml-8179aea5f370,"big-data,data-pipeline,data-science,netflixoss,pigs",Introducing Surus and ScorePMML,"Jan 20, 2015",4 min read,8,
https://netflixtechblog.com/elasticsearch-indexing-strategy-in-asset-management-platform-amp-99332231e541,"asset-management,elasticsearch,netflix,performance,sharding",Elasticsearch Indexing Strategy in Asset Management Platform (AMP),"Jul 13, 2021",10 min read,988,
https://netflixtechblog.com/optimizing-the-netflix-streaming-experience-with-data-science-725f04c3e834,"algorithms,analytics,big-data,data-science,predictive-modeling",Optimizing the Netflix Streaming Experience with Data Science,"Jun 11, 2014",6 min read,248,
https://netflixtechblog.com/noisy-neighbor-detection-with-ebpf-64b1f4b3bbdd,"containers,ebpf,linux,observability,performance",Noisy Neighbor Detection with eBPF,"Sep 10, 2024",8 min read,515,
https://netflixtechblog.com/zerotodocker-an-easy-way-to-evaluate-netflixoss-through-runtime-packaging-845db21cb60b,"continuous-delivery,docker,dockerhub,netflixoss,open-source",ZeroToDocker: An easy way to evaluate NetflixOSS through runtime packaging,"Nov 12, 2014",6 min read,267,
https://netflixtechblog.com/netflix-research-website-767408c50404,"experimentation,machine-learning,netflix,recommendations,research",Announcing the Netflix Research Website,"May 9, 2018",3 min read,1879,
https://netflixtechblog.com/meson-workflow-orchestration-for-netflix-recommendations-fc932625c1d9,"infrastructure,machine-learning,meson,netflixoss,personalization",Meson: Workflow Orchestration for Netflix Recommendations,"May 31, 2016",8 min read,252,
https://netflixtechblog.com/delivering-meaning-with-previews-on-web-3cedc0341b9e,"experimentation,react,trailers,user-interface,web-development",Delivering Meaning with Previews on Web,"Nov 12, 2018",6 min read,1461,
https://netflixtechblog.com/netflix-oss-meetup-recap-september-2016-937355669a0c,"msl,netflixoss,open-source,security,ssl",Netflix OSS Meetup Recap — September 2016,"Sep 14, 2016",3 min read,4,
https://netflixtechblog.com/titus-the-netflix-container-management-platform-is-now-open-source-f868c9fb5436,"container-orchestration,containers,mesos,netflixoss,titus","Titus, the Netflix container management platform, is now open source","Apr 18, 2018",7 min read,7421,
https://netflixtechblog.com/evolution-of-netflix-conductor-16600be36bca,"distributed-systems,netflix,netflixoss,workflow,workflow-automation",Evolution of Netflix Conductor:,"Jul 31, 2019",9 min read,846,
https://netflixtechblog.com/evolving-regional-evacuation-69e6cc1d24c6,"failover,fault-tolerance,microservices,netflix,software-engineering",Evolving Regional Evacuation,"Sep 23, 2019",6 min read,375,
https://netflixtechblog.com/artwork-personalization-c589f074ad76,"algorithms,artwork,machine-learning,personalization,recommender-systems",Artwork Personalization at Netflix,"Dec 7, 2017",13 min read,36088,
https://netflixtechblog.com/highlights-from-prs2016-workshop-57f36fa34b44,"recommendations,research,search,workshop,workshopprs",Highlights from PRS2016 workshop,"May 5, 2016",5 min read,4,
https://netflixtechblog.com/netflix-at-recsys-2016-recap-e32d50d22ecb,"algorithms,machine-learning,personalization,recommendations,research",Netflix at RecSys 2016 — Recap,"Oct 28, 2016",2 min read,21,
https://netflixtechblog.com/distributed-delay-queues-based-on-dynomite-6b31eca37fbc,"distributed,dynomite,netflixoss,queue,redis",Distributed delay queues based on Dynomite,"Aug 16, 2016",7 min read,374,
https://netflixtechblog.com/data-engineers-of-netflix-interview-with-samuel-setegne-f3027f58c2e2,"big-data,culture,data-engineering,data-tools,developer-productivity",Data Engineers of Netflix — Interview with Samuel Setegne,"Apr 26, 2021",5 min read,368,
https://netflixtechblog.com/netflixs-distributed-counter-abstraction-8d0c45eb66b2,"counter,distributed-systems,scalability,software-architecture,system-design-interview",Netflix’s Distributed Counter Abstraction,"Nov 12, 2024",19 min read,1005,
https://netflixtechblog.com/scaling-event-sourcing-for-netflix-downloads-episode-1-6bc1595c5595,"distributed-systems,download-videos,event-sourcing,netflix,scalability","Scaling Event Sourcing for Netflix Downloads, Episode 1","Sep 11, 2017",6 min read,1704,
https://netflixtechblog.com/introducing-netflix-timed-text-authoring-lineage-6fb57b72ad41,"dubbing,localization,specifications,subtitles,timed-text",Introducing Netflix Timed Text Authoring Lineage,"Jun 22, 2021",4 min read,281,
https://netflixtechblog.com/pseudo-localization-netflix-12fff76fbcbe,"globalization,i18n,internationalization,localization,translation",Pseudo Localization @ Netflix,"Aug 6, 2018",6 min read,4882,
https://netflixtechblog.com/how-netflix-scales-its-api-with-graphql-federation-part-1-ae3557c187e2,"api-gateway,architecture,edge-engineering,graphql,microservice-architecture",How Netflix Scales its API with GraphQL Federation (Part 1),"Nov 9, 2020",9 min read,5132,
https://netflixtechblog.com/nts-real-time-streaming-for-test-automation-7cb000e933a1,"apache-kafka,appsanddevices,architecture,automation,netflixdevices",NTS: Real-time Streaming for Test Automation,"Jun 15, 2015",5 min read,123,
https://netflixtechblog.com/tracking-down-the-villains-outlier-detection-at-netflix-40360b31732,"cluster-analysis,dbscan,f-score,machine-learning,outliers",Tracking down the Villains: Outlier Detection at Netflix,"Jul 14, 2015",7 min read,214,
https://netflixtechblog.com/how-netflix-uses-druid-for-real-time-insights-to-ensure-a-high-quality-experience-19e1e8568d06,"apache,druid,kafka,metrics-and-analytics,realtime",How Netflix uses Druid for Real-time Insights to Ensure a High-Quality Experience,"Mar 3, 2020",9 min read,2028,
https://netflixtechblog.com/predictive-cpu-isolation-of-containers-at-netflix-91f014d856c7,"containers,docker,linux,machine-learning,optimization",Predictive CPU isolation of containers at Netflix,"Jun 4, 2019",8 min read,2285,
https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc,"containers,ebpf,linux,networking,observability",How Netflix Accurately Attributes eBPF Flow Logs,"Apr 8, 2025",9 min read,359,
https://netflixtechblog.com/html5-video-in-safari-on-os-x-yosemite-e2291c1c166d,"html5,media-source-extensions,os-x,safari,webcrypto",HTML5 Video in Safari on OS X Yosemite,"Jun 3, 2014",2 min read,0,
https://netflixtechblog.com/learning-a-personalized-homepage-aa8ec670359a,"algorithms,machine-learning,page-generation,personalization,recommendations",Learning a Personalized Homepage,"Apr 9, 2015",15 min read,1290,
https://netflixtechblog.com/selecting-the-best-artwork-for-videos-through-a-b-testing-f6155c4595f6,"ab-testing,algorithms,artwork,experimentation,personalization",Selecting the best artwork for videos through A/B testing,"May 3, 2016",10 min read,1558,
https://netflixtechblog.com/to-be-continued-helping-you-find-shows-to-continue-watching-on-7c0d8ee4dab6,"algorithms,continue-watching,machine-learning,personalization,recommendations",To Be Continued,"Oct 12, 2016",10 min read,264,
https://netflixtechblog.com/interleaving-in-online-experiments-at-netflix-a04ee392ec55,"ab-testing,algorithms,data-science,experimentation,netflix",Innovating Faster on Personalization Algorithms at Netflix Using Interleaving,"Nov 29, 2017",8 min read,4306,
https://netflixtechblog.com/mezzfs-mounting-object-storage-in-netflixs-media-processing-platform-cda01c446ba,"algorithms,amazon-s3,distributed-systems,python,video-encoding",MezzFS — Mounting object storage in Netflix’s media processing platform,"Mar 6, 2019",9 min read,848,
https://netflixtechblog.com/optimizing-content-quality-control-at-netflix-with-predictive-modeling-712281658ab9,"data-science,machine-learning,predictive-modeling,quality-content,quality-control",Optimizing Content Quality Control at Netflix with Predictive Modeling,"Dec 10, 2015",5 min read,98,
https://netflixtechblog.com/content-popularity-for-open-connect-b86d56f613b,"content-delivery-network,data-science,distributed-systems,networking,predictive-modeling",Content Popularity for Open Connect,"Jun 20, 2017",7 min read,276,
https://netflixtechblog.com/bringing-4k-and-hdr-to-anime-at-netflix-with-sol-levante-fa68105067cd,"4k,animation,anime,hdr,netflix",Bringing 4K and HDR to Anime at Netflix withSol Levante,"Apr 2, 2020",15 min read,658,
https://netflixtechblog.com/scaling-event-sourcing-for-netflix-downloads-episode-2-ce1b54d46eec,"distributed-systems,download-videos,event-sourcing,security,software-architecture","Scaling Event Sourcing for Netflix Downloads, Episode 2","Sep 18, 2017",9 min read,1467,
https://netflixtechblog.com/edge-authentication-and-token-agnostic-identity-propagation-514e47e0b602,"authentication,authorization,identity-management,microservice-architecture,security",Edge Authentication and Token-Agnostic Identity Propagation,"Feb 9, 2021",14 min read,1333,
https://netflixtechblog.com/the-show-must-go-on-securing-netflix-studios-at-scale-19b801c86479,"cloud-networking,cloud-security,netflix,security,technology",The Show Must Go On: Securing Netflix Studios At Scale,"Sep 13, 2021",11 min read,954,
https://netflixtechblog.com/escrow-buddy-an-open-source-tool-from-netflix-for-remediation-of-missing-filevault-keys-in-mdm-815aef5107cd,"apple,information-technology,mac,mdm,security",Escrow Buddy: An open-source tool from Netflix for remediation of missing FileVault keys in MDM,"Jun 12, 2023",5 min read,292,
https://netflixtechblog.com/netflix-hack-day-winter-2018-b36ee09699d6,"hackday,ios,netflix,space,webgl",Netflix Hack Day — Winter 2018,"Mar 13, 2018",3 min read,426,
https://netflixtechblog.com/whats-trending-on-netflix-f00b4b037f61,"big-data,data-science,recommendations,scalability,stream-processing",What’s trending on Netflix?,"Feb 10, 2015",5 min read,126,
https://netflixtechblog.com/how-netflix-content-engineering-makes-a-federated-graph-searchable-5c0c1c7d7eaf,"data-mesh,elasticsearch,graphql,indexing,search",How Netflix Content Engineering makes a federated graph searchable,"Apr 12, 2022",9 min read,859,
https://netflixtechblog.com/rad-outlier-detection-on-big-data-d6b0494371cc,"anomaly-detection,apache-pig,big-data,data-science,rpca",RAD — Outlier Detection on Big Data,"Feb 19, 2015",3 min read,394,
https://netflixtechblog.com/global-continuous-delivery-with-spinnaker-2a6896c23ba7,"continuous-delivery,netflixoss,open-source,open-source-software,os",Global Continuous Delivery with Spinnaker,"Nov 16, 2015",3 min read,718,
https://netflixtechblog.com/sps-the-pulse-of-netflix-streaming-ae4db0e05f8a,"devops,high-availability,operational-excellence,operational-insight,site-reliability",SPS: the Pulse of Netflix Streaming,"Feb 2, 2015",7 min read,201,
https://netflixtechblog.com/cloud-efficiency-at-netflix-f2a142955f83,"cloud-efficiency,cost,data-modeling,engineering,infrastructure",Cloud Efficiency at Netflix,"Dec 17, 2024",5 min read,367,
https://netflixtechblog.com/data-ingestion-pipeline-with-operation-management-3c5c638740a8,"annotations,data-pipeline,distributed-transaction,machine-learning,marken",Data ingestion pipeline with Operation Management,"Mar 3, 2023",7 min read,306,
https://netflixtechblog.com/production-media-management-transforming-media-workflows-by-leveraging-the-cloud-1174699e4a08,"content-hub,media-management,media-workflows,movie-production,production-technology",Production Media Management: Transforming Media Workflows by leveraging the Cloud,"Mar 13, 2021",9 min read,213,
https://netflixtechblog.com/data-engineers-of-netflix-interview-with-dhevi-rajendran-a9ab7c7b36e5,"big-data,culture,data,data-engineering,remote-working",Data Engineers of Netflix — Interview with Dhevi Rajendran,"Mar 15, 2021",5 min read,848,
https://netflixtechblog.com/data-engineers-of-netflix-interview-with-kevin-wylie-7fb9113a01ea,"analytics,big-data,culture,data,data-engineering",Data Engineers of Netflix — Interview with Kevin Wylie,"Jul 14, 2021",5 min read,618,
https://netflixtechblog.com/data-engineers-of-netflix-interview-with-pallavi-phadnis-a1fcc5f64906,"big-data,culture,data,data-engineering,technology",Data Engineers of Netflix — Interview with Pallavi Phadnis,"Oct 28, 2021",4 min read,479,
https://netflixtechblog.com/netflixoss-meetup-series-1-episode-3-featured-contributions-13861b2799bb,"cloud-computing,conformity-monkey,eucalyptus,genie,ibm",NetflixOSS Meetup Series 1 Episode 3 — Featured Contributions,"Jul 25, 2013",3 min read,1,
https://netflixtechblog.com/active-active-for-multi-regional-resiliency-c47719f6685b,"cloud-computing,denominator,high-availability,resilience,zuul",Active-Active for Multi-Regional Resiliency,"Feb 12, 2013",12 min read,659,
https://netflixtechblog.com/how-netflix-uses-john-stamos-to-optimize-the-cloud-at-scale-5a05a3bbf2eb,"april-fools,cloud-computing,john-stamos,netflix,scalability",How Netflix Uses John Stamos to Optimize the Cloud at Scale,"Apr 1, 2016",3 min read,47,
https://netflixtechblog.com/towards-true-continuous-integration-distributed-repositories-and-dependencies-2a2e3108c051,"cloud-computing,continuous-integration,dependencies,java,microservices",Towards true continuous integration: distributed repositories and dependencies,"Apr 27, 2017",4 min read,553,
https://netflixtechblog.com/open-sourcing-zuul-2-82ea476cb2b3,"api-gateway,cloud-computing,cloud-gateway,netflixoss,zuul",Open Sourcing Zuul 2,"May 21, 2018",7 min read,3132,
https://netflixtechblog.com/netflix-edge-load-balancing-695308b5548c,"api-gateway,cloud-computing,high-availability,load-balancing,software-engineering",Rethinking Netflix’s Edge Load Balancing,"Sep 28, 2018",16 min read,3096,
https://netflixtechblog.com/netflix-oss-and-spring-boot-coming-full-circle-4855947713a0,"cloud-computing,java,open-source,software-engineering,spring",Netflix OSS and Spring Boot — Coming Full Circle,"Dec 18, 2018",3 min read,4880,
https://netflixtechblog.com/curbing-connection-churn-in-zuul-2feb273a3598,"cloud-computing,high-availability,load-balancing,scalability,software-engineering",Curbing Connection Churn in Zuul,"Aug 16, 2023",10 min read,423,
